number,Nanoparticle,Coat,Diameter,Concentration,Zeta_potential,Cells,Human_Animal_cells,Cell_Source,Cell_morphology,tissue_source,Exposure_time,Test,Test_indicator,Biochemical_metric,Interference_checked,Colloidal_stability_checked,Positive_control,χ,∑x,No/∑x,NMetal,MW,Noxygen,q,Cell_viability
111,10,0,20,5,-10.5,2,1,1,1,2,48,8,2,2,1,1,1,1.9,3.8,0.263157895,2,143.079,1,1,99.3213
112,10,0,20,10,-10.5,2,1,1,1,2,48,8,2,2,1,1,1,1.9,3.8,0.263157895,2,143.079,1,1,100.5014
113,10,0,20,20,-10.5,2,1,1,1,2,48,8,2,2,1,1,1,1.9,3.8,0.263157895,2,143.079,1,1,103.4439
114,10,0,20,40,-10.5,2,1,1,1,2,48,8,2,2,1,1,1,1.9,3.8,0.263157895,2,143.079,1,1,99.6303
115,10,0,20,80,-10.5,2,1,1,1,2,48,8,2,2,1,1,1,1.9,3.8,0.263157895,2,143.079,1,1,97.493
116,10,0,20,5,-10.5,2,1,1,1,2,48,2,2,2,1,1,1,1.9,3.8,0.263157895,2,143.079,1,1,119.5237
117,10,0,20,10,-10.5,2,1,1,1,2,48,2,2,2,1,1,1,1.9,3.8,0.263157895,2,143.079,1,1,92.9005
118,10,0,20,20,-10.5,2,1,1,1,2,48,2,2,2,1,1,1,1.9,3.8,0.263157895,2,143.079,1,1,87.6432
119,10,0,20,40,-10.5,2,1,1,1,2,48,2,2,2,1,1,1,1.9,3.8,0.263157895,2,143.079,1,1,93.4734
120,10,0,20,80,-10.5,2,1,1,1,2,48,2,2,2,1,1,1,1.9,3.8,0.263157895,2,143.079,1,1,90.4291
121,25,0,30,80,-0.404,8,1,1,1,7,24,8,2,2,1,1,1,1.12,1.12,0.892857143,1,172.1148,2,4,94.2457
122,25,0,30,160,-0.404,8,1,1,1,7,24,8,2,2,1,1,1,1.12,1.12,0.892857143,1,172.1148,2,4,94.7805
123,25,0,30,320,-0.404,8,1,1,1,7,24,8,2,2,1,1,1,1.12,1.12,0.892857143,1,172.1148,2,4,95.4445
124,25,0,30,640,-0.404,8,1,1,1,7,24,8,2,2,1,1,1,1.12,1.12,0.892857143,1,172.1148,2,4,87.2173
125,25,0,30,1280,-0.404,8,1,1,1,7,24,8,2,2,1,1,1,1.12,1.12,0.892857143,1,172.1148,2,4,105.6441
126,25,0,30,80,-0.404,8,1,1,1,7,24,2,2,2,1,1,1,1.12,1.12,0.892857143,1,172.1148,2,4,97.2559
127,25,0,30,160,-0.404,8,1,1,1,7,24,2,2,2,1,1,1,1.12,1.12,0.892857143,1,172.1148,2,4,95.9796
128,25,0,30,320,-0.404,8,1,1,1,7,24,2,2,2,1,1,1,1.12,1.12,0.892857143,1,172.1148,2,4,89.3746
129,25,0,30,640,-0.404,8,1,1,1,7,24,2,2,2,1,1,1,1.12,1.12,0.892857143,1,172.1148,2,4,100.0639
130,25,0,30,1280,-0.404,8,1,1,1,7,24,2,2,2,1,1,1,1.12,1.12,0.892857143,1,172.1148,2,4,98.6253
131,25,0,30,80,-0.404,8,1,1,1,7,48,8,2,2,1,1,1,1.12,1.12,0.892857143,1,172.1148,2,4,108.9303
132,25,0,30,160,-0.404,8,1,1,1,7,48,8,2,2,1,1,1,1.12,1.12,0.892857143,1,172.1148,2,4,105.0463
133,25,0,30,320,-0.404,8,1,1,1,7,48,8,2,2,1,1,1,1.12,1.12,0.892857143,1,172.1148,2,4,112.8615
134,25,0,30,640,-0.404,8,1,1,1,7,48,8,2,2,1,1,1,1.12,1.12,0.892857143,1,172.1148,2,4,153.181
135,25,0,30,1280,-0.404,8,1,1,1,7,48,8,2,2,1,1,1,1.12,1.12,0.892857143,1,172.1148,2,4,125.25
136,25,0,30,80,-0.404,8,1,1,1,7,48,2,2,2,1,1,1,1.12,1.12,0.892857143,1,172.1148,2,4,103.844
137,25,0,30,160,-0.404,8,1,1,1,7,48,2,2,2,1,1,1,1.12,1.12,0.892857143,1,172.1148,2,4,109.1708
